Catalog / Data Sheet,Part No.,Status,Brand,Core Shape,Size (IEC62317) A x B x C,Dimm. A,Dimm. B,Dimm. C,Feature,Ferrite Material,Material Name,AL Value / (nH / N²),Core Loss / (W / set),Air Gap / mm,Initial Permeability μi,Saturation Magnetic Flux Density Bs / mT,Relative Loss Factor (Max.) (tanδ / μi) 10⁻⁶,Curie Temperature Tc(Min.) / °C,material_name,core_shape,A_L_clean,A_L_H_per_turn2,B_s_clean,B_s_T,gap_clean,gap_m,mu_i,Sigma_l_over_A_mm_inv,le_m,Ae_m2,Ve_m3
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_42_21_20.pdf,B66329G0000X127 (N27),Production,EPCOS,E(EE),E 42/21/20,42.0,21.2,20.0,For general purpose,Mn-Zn,N27,"4750 +30,-20%","4.4 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220,N27,E(EE),4750,4.75e-06,410,0.41000000000000003,0.0,0.0,2000,,0.097,0.000234,2.2700000000000003e-05
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_42_21_20.pdf,B66329G0250X127 (N27),Production,EPCOS,E(EE),E 42/21/20,42.0,21.2,20.0,For general purpose,Mn-Zn,N27,1029 Nom.,,0.25,2000,410 (100°C),,220,N27,E(EE),1029,1.029e-06,410,0.41000000000000003,0.25,0.00025,2000,,0.097,0.000234,2.2700000000000003e-05
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_42_21_20.pdf,B66329G0500X127 (N27),Production,EPCOS,E(EE),E 42/21/20,42.0,21.2,20.0,For general purpose,Mn-Zn,N27,603 Nom.,,0.5,2000,410 (100°C),,220,N27,E(EE),603,6.03e-07,410,0.41000000000000003,0.5,0.0005,2000,,0.097,0.000234,2.2700000000000003e-05
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_42_21_20.pdf,B66329G1000X127 (N27),Production,EPCOS,E(EE),E 42/21/20,42.0,21.2,20.0,For general purpose,Mn-Zn,N27,354 Nom.,,1.0,2000,410 (100°C),,220,N27,E(EE),354,3.54e-07,410,0.41000000000000003,1.0,0.001,2000,,0.097,0.000234,2.2700000000000003e-05
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_42_21_20.pdf,B66329G1500X127 (N27),Production,EPCOS,E(EE),E 42/21/20,42.0,21.2,20.0,For general purpose,Mn-Zn,N27,259 Nom.,,1.5,2000,410 (100°C),,220,N27,E(EE),259,2.5900000000000003e-07,410,0.41000000000000003,1.5,0.0015,2000,,0.097,0.000234,2.2700000000000003e-05
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_55_28_21.pdf,B66335G0000X127 (N27),Production,EPCOS,E(Large),E 55/28/21,55.0,27.8,21.0,For general purpose,Mn-Zn,N27,"5800 +30,-20%","8 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220,N27,E(Large),5800,5.8e-06,410,0.41000000000000003,0.0,0.0,2000,,0.124,0.000354,4.39e-05
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_55_28_21.pdf,B66335G0500X127 (N27),Production,EPCOS,E(Large),E 55/28/21,55.0,27.8,21.0,For general purpose,Mn-Zn,N27,843 Nom.,,0.5,2000,410 (100°C),,220,N27,E(Large),843,8.43e-07,410,0.41000000000000003,0.5,0.0005,2000,,0.124,0.000354,4.39e-05
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_55_28_21.pdf,B66335G1000X127 (N27),Production,EPCOS,E(Large),E 55/28/21,55.0,27.8,21.0,For general purpose,Mn-Zn,N27,496 Nom.,,1.0,2000,410 (100°C),,220,N27,E(Large),496,4.96e-07,410,0.41000000000000003,1.0,0.001,2000,,0.124,0.000354,4.39e-05
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_55_28_21.pdf,B66335G1500X127 (N27),Production,EPCOS,E(Large),E 55/28/21,55.0,27.8,21.0,For general purpose,Mn-Zn,N27,364 Nom.,,1.5,2000,410 (100°C),,220,N27,E(Large),364,3.6400000000000003e-07,410,0.41000000000000003,1.5,0.0015,2000,,0.124,0.000354,4.39e-05
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_55_28_21.pdf,B66335G2000X127 (N27),Production,EPCOS,E(Large),E 55/28/21,55.0,27.8,21.0,For general purpose,Mn-Zn,N27,292 Nom.,,2.0,2000,410 (100°C),,220,N27,E(Large),292,2.92e-07,410,0.41000000000000003,2.0,0.002,2000,,0.124,0.000354,4.39e-05
